Author,AuthorEmail,ScamSuccessful
Bob Smith,bob@example.com,no
Mike Jones,mike@example.com,yes
James Robbin,jrobbin@example.com,no
Guy Peterson,Guy@example.com,no
Alan Johnson,AJ@example.com,yes
Mary Rose,Mrose@example.com,no
Kate Overturn,kaoverturn@example.com,no
Carla Stepwolf,CarlaW@example.com,yes
Paul Alan,PA@example.com,no
David Cross,dCross@example.com,no
Neil Rogan,Nrogen@example.co,no
Joe Young,Jyoung@example.com,no
Richard Henrick,PipePiper@example.com,yes
Eric Goodhand,Goodhand@example.com,yes
John Head,JHead@example.com,no
Peter Clapton,PPton@example.com,no
Joe Siverman,Siverman@example.com,no
Colin O'Connor,ColinO@example.com,no
Amy Burn,ABurn@example.com,yes
Sarah Stove,Sstove@example.com,no
